Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       Egz.
Vardas1             Pavarde1            4         4         8         7         5         10        3         2         6
Vardas2             Pavarde2            9         1         2         9         9         10        1         3         1
Vardas3             Pavarde3            4         6         9         8         8         6         3         3         2
Vardas4             Pavarde4            1         5         2         7         1         5         10        5         10
Vardas5             Pavarde5            7         2         6         7         10        2         2         8         4
Vardas6             Pavarde6            2         8         10        8         4         5         10        2         2
Vardas7             Pavarde7            1         1         5         6         5         1         3         1         1
Vardas8             Pavarde8            6         10        10        10        8         5         2         4         9
Vardas9             Pavarde9            10        1         10        6         7         7         10        2         1
Vardas10            Pavarde10           8         2         4         1         8         2         8         9         5
Vardas11            Pavarde11           7         2         6         2         3         4         6         10        10
Vardas12            Pavarde12           5         5         4         1         10        8         4         9         9
Vardas13            Pavarde13           3         10        10        10        3         3         8         1         10
Vardas14            Pavarde14           4         8         2         5         9         9         8         3         7
Vardas15            Pavarde15           9         1         6         6         8         9         9         6         7
Vardas16            Pavarde16           5         2         8         9         10        1         3         5         1
Vardas17            Pavarde17           5         10        5         6         4         6         10        8         4
Vardas18            Pavarde18           3         2         6         3         6         4         4         9         7
Vardas19            Pavarde19           9         2         4         5         2         1         6         5         10
Vardas20            Pavarde20           7         2         1         4         9         3         9         3         4
Vardas21            Pavarde21           1         8         7         2         5         10        4         4         2
Vardas22            Pavarde22           8         3         6         4         4         6         5         7         4
Vardas23            Pavarde23           7         9         3         6         10        8         10        5         1
Vardas24            Pavarde24           2         1         4         8         7         2         10        5         6
Vardas25            Pavarde25           7         10        3         4         10        9         10        10        6
Vardas26            Pavarde26           9         4         8         2         6         1         5         1         7
Vardas27            Pavarde27           2         8         6         2         9         2         10        9         5
Vardas28            Pavarde28           10        4         4         1         9         6         2         2         8
Vardas29            Pavarde29           8         1         7         3         2         8         6         5         2
Vardas30            Pavarde30           5         3         4         1         10        1         2         8         6
Vardas31            Pavarde31           8         9         5         6         8         9         5         4         10
Vardas32            Pavarde32           9         2         10        6         7         5         1         5         1
Vardas33            Pavarde33           2         2         8         4         7         8         6         10        10
Vardas34            Pavarde34           4         3         3         6         9         2         4         2         4
Vardas35            Pavarde35           2         2         1         3         4         5         8         9         8
Vardas36            Pavarde36           1         8         2         10        4         10        6         4         6
Vardas37            Pavarde37           10        5         4         7         9         2         10        1         1
Vardas38            Pavarde38           7         8         7         7         4         8         4         10        2
Vardas39            Pavarde39           10        1         5         2         4         9         7         4         7
Vardas40            Pavarde40           3         5         5         2         5         2         7         1         10
Vardas41            Pavarde41           8         6         6         2         8         6         8         3         3
Vardas42            Pavarde42           2         8         3         4         1         10        7         5         1
Vardas43            Pavarde43           2         6         10        3         9         10        5         2         9
